2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
3 r 8.6406; phi -0.2082; x 0.4227; y -0.0893; t_rel 0.7657;
3 r 8.6299; phi -0.2088; x 0.4221; y -0.0894; t_rel 0.7653;
3 r 8.6192; phi -0.2094; x 0.4215; y -0.0896; t_rel 0.7648;
3 r 8.6085; phi -0.2100; x 0.4210; y -0.0897; t_rel 0.7644;
3 r 8.5979; phi -0.2107; x 0.4204; y -0.0899; t_rel 0.7640;
3 r 8.5873; phi -0.2113; x 0.4198; y -0.0901; t_rel 0.7636;
3 r 8.5768; phi -0.2119; x 0.4192; y -0.0902; t_rel 0.7631;
3 r 8.5662; phi -0.2126; x 0.4187; y -0.0904; t_rel 0.7627;
3 r 8.5557; phi -0.2132; x 0.4181; y -0.0905; t_rel 0.7623;
3 r 8.5452; phi -0.2138; x 0.4175; y -0.0907; t_rel 0.7619;
3 r 8.5348; phi -0.2144; x 0.4170; y -0.0908; t_rel 0.7615;
3 r 8.5243; phi -0.2151; x 0.4164; y -0.0910; t_rel 0.7611;
3 r 8.5139; phi -0.2157; x 0.4158; y -0.0911; t_rel 0.7606;
3 r 8.5035; phi -0.2163; x 0.4153; y -0.0913; t_rel 0.7602;
3 r 8.4932; phi -0.2170; x 0.4147; y -0.0914; t_rel 0.7598;
3 r 8.4829; phi -0.2176; x 0.4141; y -0.0916; t_rel 0.7594;
3 r 8.4726; phi -0.2182; x 0.4136; y -0.0917; t_rel 0.7590;
3 r 8.4623; phi -0.2188; x 0.4130; y -0.0919; t_rel 0.7586;
3 r 8.4521; phi -0.2195; x 0.4125; y -0.0920; t_rel 0.7582;
3 r 8.4419; phi -0.2201; x 0.4119; y -0.0922; t_rel 0.7578;
3 r 8.4317; phi -0.2207; x 0.4114; y -0.0923; t_rel 0.7574;
3 r 8.4215; phi -0.2214; x 0.4108; y -0.0925; t_rel 0.7570;
3 r 8.4114; phi -0.2220; x 0.4102; y -0.0926; t_rel 0.7566;
3 r 8.4013; phi -0.2226; x 0.4097; y -0.0927; t_rel 0.7562;
3 r 8.3912; phi -0.2233; x 0.4091; y -0.0929; t_rel 0.7558;
3 r 8.3812; phi -0.2239; x 0.4086; y -0.0930; t_rel 0.7554;
3 r 8.3711; phi -0.2245; x 0.4081; y -0.0932; t_rel 0.7550;
3 r 8.3611; phi -0.2251; x 0.4075; y -0.0933; t_rel 0.7546;
3 r 8.3512; phi -0.2258; x 0.4070; y -0.0935; t_rel 0.7542;
3 r 8.3412; phi -0.2264; x 0.4064; y -0.0936; t_rel 0.7538;
3 r 8.3313; phi -0.2270; x 0.4059; y -0.0938; t_rel 0.7534;
3 r 8.3214; phi -0.2277; x 0.4053; y -0.0939; t_rel 0.7530;
3 r 8.3115; phi -0.2283; x 0.4048; y -0.0940; t_rel 0.7526;
3 r 8.3017; phi -0.2289; x 0.4043; y -0.0942; t_rel 0.7522;
3 r 8.2918; phi -0.2295; x 0.4037; y -0.0943; t_rel 0.7518;
3 r 8.2820; phi -0.2302; x 0.4032; y -0.0945; t_rel 0.7514;
3 r 8.2723; phi -0.2308; x 0.4026; y -0.0946; t_rel 0.7510;
3 r 8.2625; phi -0.2314; x 0.4021; y -0.0948; t_rel 0.7506;
3 r 8.2528; phi -0.2321; x 0.4016; y -0.0949; t_rel 0.7502;
3 r 8.2431; phi -0.2327; x 0.4010; y -0.0950; t_rel 0.7498;
3 r 8.2334; phi -0.2333; x 0.4005; y -0.0952; t_rel 0.7494;
3 r 8.2238; phi -0.2339; x 0.4000; y -0.0953; t_rel 0.7491;
3 r 8.2142; phi -0.2346; x 0.3995; y -0.0955; t_rel 0.7487;
3 r 8.2046; phi -0.2352; x 0.3989; y -0.0956; t_rel 0.7483;
3 r 8.1950; phi -0.2358; x 0.3984; y -0.0957; t_rel 0.7479;
3 r 8.1855; phi -0.2365; x 0.3979; y -0.0959; t_rel 0.7475;
3 r 8.1759; phi -0.2371; x 0.3974; y -0.0960; t_rel 0.7471;
3 r 8.1664; phi -0.2377; x 0.3968; y -0.0962; t_rel 0.7467;
3 r 8.1570; phi -0.2383; x 0.3963; y -0.0963; t_rel 0.7464;
3 r 8.1475; phi -0.2390; x 0.3958; y -0.0964; t_rel 0.7460;
3 r 8.1381; phi -0.2396; x 0.3953; y -0.0966; t_rel 0.7456;
3 r 8.1287; phi -0.2402; x 0.3948; y -0.0967; t_rel 0.7452;
3 r 8.1193; phi -0.2409; x 0.3942; y -0.0968; t_rel 0.7448;
3 r 8.1100; phi -0.2415; x 0.3937; y -0.0970; t_rel 0.7445;
3 r 8.1006; phi -0.2421; x 0.3932; y -0.0971; t_rel 0.7441;
3 r 8.0913; phi -0.2427; x 0.3927; y -0.0972; t_rel 0.7437;
3 r 8.0820; phi -0.2434; x 0.3922; y -0.0974; t_rel 0.7433;
3 r 8.0728; phi -0.2440; x 0.3917; y -0.0975; t_rel 0.7430;
3 r 8.0635; phi -0.2446; x 0.3912; y -0.0976; t_rel 0.7426;
3 r 8.0543; phi -0.2453; x 0.3907; y -0.0978; t_rel 0.7422;
3 r 8.0451; phi -0.2459; x 0.3902; y -0.0979; t_rel 0.7418;
3 r 8.0359; phi -0.2465; x 0.3897; y -0.0980; t_rel 0.7415;
3 r 8.0268; phi -0.2471; x 0.3891; y -0.0982; t_rel 0.7411;
3 r 8.0177; phi -0.2478; x 0.3886; y -0.0983; t_rel 0.7407;
3 r 8.0086; phi -0.2484; x 0.3881; y -0.0984; t_rel 0.7404;
3 r 7.9995; phi -0.2490; x 0.3876; y -0.0986; t_rel 0.7400;
3 r 7.9904; phi -0.2497; x 0.3871; y -0.0987; t_rel 0.7396;
3 r 7.9814; phi -0.2503; x 0.3866; y -0.0988; t_rel 0.7393;
3 r 7.9724; phi -0.2509; x 0.3861; y -0.0990; t_rel 0.7389;
3 r 7.9634; phi -0.2515; x 0.3856; y -0.0991; t_rel 0.7385;
3 r 7.9544; phi -0.2522; x 0.3851; y -0.0992; t_rel 0.7382;
3 r 7.9455; phi -0.2528; x 0.3846; y -0.0994; t_rel 0.7378;
3 r 7.9366; phi -0.2534; x 0.3842; y -0.0995; t_rel 0.7374;
3 r 7.9277; phi -0.2541; x 0.3837; y -0.0996; t_rel 0.7371;
3 r 7.9188; phi -0.2547; x 0.3832; y -0.0998; t_rel 0.7367;
3 r 7.9099; phi -0.2553; x 0.3827; y -0.0999; t_rel 0.7364;
3 r 7.9011; phi -0.2559; x 0.3822; y -0.1000; t_rel 0.7360;
3 r 7.8923; phi -0.2566; x 0.3817; y -0.1001; t_rel 0.7356;
3 r 7.8835; phi -0.2572; x 0.3812; y -0.1003; t_rel 0.7353;
3 r 7.8747; phi -0.2578; x 0.3807; y -0.1004; t_rel 0.7349;
3 r 7.8660; phi -0.2585; x 0.3802; y -0.1005; t_rel 0.7346;
3 r 7.8572; phi -0.2591; x 0.3797; y -0.1007; t_rel 0.7342;
3 r 7.8485; phi -0.2597; x 0.3793; y -0.1008; t_rel 0.7339;
3 r 7.8398; phi -0.2604; x 0.3788; y -0.1009; t_rel 0.7335;
3 r 7.8312; phi -0.2610; x 0.3783; y -0.1010; t_rel 0.7331;
3 r 7.8225; phi -0.2616; x 0.3778; y -0.1012; t_rel 0.7328;
3 r 7.8139; phi -0.2622; x 0.3773; y -0.1013; t_rel 0.7324;
3 r 7.8053; phi -0.2629; x 0.3769; y -0.1014; t_rel 0.7321;
3 r 7.7967; phi -0.2635; x 0.3764; y -0.1015; t_rel 0.7317;
3 r 7.7882; phi -0.2641; x 0.3759; y -0.1017; t_rel 0.7314;
3 r 7.7796; phi -0.2648; x 0.3754; y -0.1018; t_rel 0.7310;
3 r 7.7711; phi -0.2654; x 0.3750; y -0.1019; t_rel 0.7307;
3 r 7.7626; phi -0.2660; x 0.3745; y -0.1020; t_rel 0.7303;
3 r 7.7541; phi -0.2666; x 0.3740; y -0.1022; t_rel 0.7300;
3 r 7.7457; phi -0.2673; x 0.3735; y -0.1023; t_rel 0.7296;
3 r 7.7372; phi -0.2679; x 0.3731; y -0.1024; t_rel 0.7293;
3 r 7.7288; phi -0.2685; x 0.3726; y -0.1025; t_rel 0.7290;
3 r 7.7204; phi -0.2692; x 0.3721; y -0.1026; t_rel 0.7286;
3 r 7.7120; phi -0.2698; x 0.3717; y -0.1028; t_rel 0.7283;
3 r 7.7037; phi -0.2704; x 0.3712; y -0.1029; t_rel 0.7279;
3 r 7.6954; phi -0.2710; x 0.3707; y -0.1030; t_rel 0.7276;
3 r 7.6870; phi -0.2717; x 0.3703; y -0.1031; t_rel 0.7272;
3 r 7.6787; phi -0.2723; x 0.3698; y -0.1033; t_rel 0.7269;
3 r 7.6705; phi -0.2729; x 0.3693; y -0.1034; t_rel 0.7266;
3 r 7.6622; phi -0.2736; x 0.3689; y -0.1035; t_rel 0.7262;
3 r 7.6540; phi -0.2742; x 0.3684; y -0.1036; t_rel 0.7259;
3 r 7.6457; phi -0.2748; x 0.3679; y -0.1037; t_rel 0.7255;
3 r 7.6375; phi -0.2754; x 0.3675; y -0.1039; t_rel 0.7252;
3 r 7.6294; phi -0.2761; x 0.3670; y -0.1040; t_rel 0.7249;
3 r 7.6212; phi -0.2767; x 0.3666; y -0.1041; t_rel 0.7245;
3 r 7.6131; phi -0.2773; x 0.3661; y -0.1042; t_rel 0.7242;
3 r 7.6049; phi -0.2780; x 0.3657; y -0.1043; t_rel 0.7239;
3 r 7.5968; phi -0.2786; x 0.3652; y -0.1045; t_rel 0.7235;
3 r 7.5888; phi -0.2792; x 0.3647; y -0.1046; t_rel 0.7232;
3 r 7.5807; phi -0.2798; x 0.3643; y -0.1047; t_rel 0.7229;
3 r 7.5726; phi -0.2805; x 0.3638; y -0.1048; t_rel 0.7225;
3 r 7.5646; phi -0.2811; x 0.3634; y -0.1049; t_rel 0.7222;
3 r 7.5566; phi -0.2817; x 0.3629; y -0.1050; t_rel 0.7219;
3 r 7.5486; phi -0.2824; x 0.3625; y -0.1052; t_rel 0.7215;
3 r 7.5407; phi -0.2830; x 0.3620; y -0.1053; t_rel 0.7212;
3 r 7.5327; phi -0.2836; x 0.3616; y -0.1054; t_rel 0.7209;
3 r 7.5248; phi -0.2842; x 0.3611; y -0.1055; t_rel 0.7205;
3 r 7.5169; phi -0.2849; x 0.3607; y -0.1056; t_rel 0.7202;
3 r 7.5090; phi -0.2855; x 0.3602; y -0.1057; t_rel 0.7199;
3 r 7.5011; phi -0.2861; x 0.3598; y -0.1059; t_rel 0.7196;
3 r 7.4932; phi -0.2868; x 0.3594; y -0.1060; t_rel 0.7192;
3 r 7.4854; phi -0.2874; x 0.3589; y -0.1061; t_rel 0.7189;
3 r 7.4776; phi -0.2880; x 0.3585; y -0.1062; t_rel 0.7186;
3 r 7.4697; phi -0.2886; x 0.3580; y -0.1063; t_rel 0.7183;
3 r 7.4620; phi -0.2893; x 0.3576; y -0.1064; t_rel 0.7179;
3 r 7.4542; phi -0.2899; x 0.3572; y -0.1065; t_rel 0.7176;
3 r 7.4464; phi -0.2905; x 0.3567; y -0.1067; t_rel 0.7173;
3 r 7.4387; phi -0.2912; x 0.3563; y -0.1068; t_rel 0.7170;
3 r 7.4310; phi -0.2918; x 0.3558; y -0.1069; t_rel 0.7166;
3 r 7.4233; phi -0.2924; x 0.3554; y -0.1070; t_rel 0.7163;
3 r 7.4156; phi -0.2931; x 0.3550; y -0.1071; t_rel 0.7160;
3 r 7.4079; phi -0.2937; x 0.3545; y -0.1072; t_rel 0.7157;
3 r 7.4003; phi -0.2943; x 0.3541; y -0.1073; t_rel 0.7154;
3 r 7.3927; phi -0.2949; x 0.3537; y -0.1074; t_rel 0.7150;
3 r 7.3851; phi -0.2956; x 0.3532; y -0.1076; t_rel 0.7147;
3 r 7.3775; phi -0.2962; x 0.3528; y -0.1077; t_rel 0.7144;
3 r 7.3699; phi -0.2968; x 0.3524; y -0.1078; t_rel 0.7141;
3 r 7.3623; phi -0.2975; x 0.3520; y -0.1079; t_rel 0.7138;
3 r 7.3548; phi -0.2981; x 0.3515; y -0.1080; t_rel 0.7135;
3 r 7.3473; phi -0.2987; x 0.3511; y -0.1081; t_rel 0.7132;
3 r 7.3398; phi -0.2993; x 0.3507; y -0.1082; t_rel 0.7128;
3 r 7.3323; phi -0.3000; x 0.3502; y -0.1083; t_rel 0.7125;
3 r 7.3248; phi -0.3006; x 0.3498; y -0.1084; t_rel 0.7122;
3 r 7.3173; phi -0.3012; x 0.3494; y -0.1085; t_rel 0.7119;
3 r 7.3099; phi -0.3019; x 0.3490; y -0.1087; t_rel 0.7116;
3 r 7.3025; phi -0.3025; x 0.3485; y -0.1088; t_rel 0.7113;
3 r 7.2951; phi -0.3031; x 0.3481; y -0.1089; t_rel 0.7110;
3 r 7.2877; phi -0.3037; x 0.3477; y -0.1090; t_rel 0.7107;
3 r 7.2803; phi -0.3044; x 0.3473; y -0.1091; t_rel 0.7103;
3 r 7.2730; phi -0.3050; x 0.3469; y -0.1092; t_rel 0.7100;
3 r 7.2656; phi -0.3056; x 0.3464; y -0.1093; t_rel 0.7097;
3 r 7.2583; phi -0.3063; x 0.3460; y -0.1094; t_rel 0.7094;
3 r 7.2510; phi -0.3069; x 0.3456; y -0.1095; t_rel 0.7091;
3 r 7.2437; phi -0.3075; x 0.3452; y -0.1096; t_rel 0.7088;
3 r 7.2364; phi -0.3081; x 0.3448; y -0.1097; t_rel 0.7085;
3 r 7.2292; phi -0.3088; x 0.3444; y -0.1098; t_rel 0.7082;
3 r 7.2219; phi -0.3094; x 0.3440; y -0.1099; t_rel 0.7079;
3 r 7.2147; phi -0.3100; x 0.3435; y -0.1101; t_rel 0.7076;
3 r 7.2075; phi -0.3107; x 0.3431; y -0.1102; t_rel 0.7073;
3 r 7.2003; phi -0.3113; x 0.3427; y -0.1103; t_rel 0.7070;
3 r 7.1931; phi -0.3119; x 0.3423; y -0.1104; t_rel 0.7067;
3 r 7.1860; phi -0.3125; x 0.3419; y -0.1105; t_rel 0.7064;
3 r 7.1788; phi -0.3132; x 0.3415; y -0.1106; t_rel 0.7061;
3 r 7.1717; phi -0.3138; x 0.3411; y -0.1107; t_rel 0.7058;
3 r 7.1646; phi -0.3144; x 0.3407; y -0.1108; t_rel 0.7055;
3 r 7.1575; phi -0.3151; x 0.3403; y -0.1109; t_rel 0.7052;
3 r 7.1504; phi -0.3157; x 0.3399; y -0.1110; t_rel 0.7049;
3 r 7.1433; phi -0.3163; x 0.3394; y -0.1111; t_rel 0.7046;
3 r 7.1363; phi -0.3169; x 0.3390; y -0.1112; t_rel 0.7043;
3 r 7.1292; phi -0.3176; x 0.3386; y -0.1113; t_rel 0.7040;
3 r 7.1222; phi -0.3182; x 0.3382; y -0.1114; t_rel 0.7037;
3 r 7.1152; phi -0.3188; x 0.3378; y -0.1115; t_rel 0.7034;
3 r 7.1082; phi -0.3195; x 0.3374; y -0.1116; t_rel 0.7031;
3 r 7.1013; phi -0.3201; x 0.3370; y -0.1117; t_rel 0.7028;
3 r 7.0943; phi -0.3207; x 0.3366; y -0.1118; t_rel 0.7025;
3 r 7.0874; phi -0.3213; x 0.3362; y -0.1119; t_rel 0.7022;
3 r 7.0804; phi -0.3220; x 0.3358; y -0.1120; t_rel 0.7019;
3 r 7.0735; phi -0.3226; x 0.3354; y -0.1121; t_rel 0.7016;
3 r 7.0666; phi -0.3232; x 0.3350; y -0.1122; t_rel 0.7013;
3 r 7.0597; phi -0.3239; x 0.3346; y -0.1123; t_rel 0.7010;
3 r 7.0529; phi -0.3245; x 0.3342; y -0.1124; t_rel 0.7008;
3 r 7.0460; phi -0.3251; x 0.3338; y -0.1125; t_rel 0.7005;
3 r 7.0392; phi -0.3257; x 0.3334; y -0.1126; t_rel 0.7002;
3 r 7.0324; phi -0.3264; x 0.3331; y -0.1127; t_rel 0.6999;
3 r 7.0255; phi -0.3270; x 0.3327; y -0.1128; t_rel 0.6996;
3 r 7.0188; phi -0.3276; x 0.3323; y -0.1129; t_rel 0.6993;
3 r 7.0120; phi -0.3283; x 0.3319; y -0.1130; t_rel 0.6990;
3 r 7.0052; phi -0.3289; x 0.3315; y -0.1131; t_rel 0.6987;
3 r 6.9985; phi -0.3295; x 0.3311; y -0.1132; t_rel 0.6984;
3 r 6.9917; phi -0.3302; x 0.3307; y -0.1133; t_rel 0.6981;
3 r 6.9850; phi -0.3308; x 0.3303; y -0.1134; t_rel 0.6979;
3 r 6.9783; phi -0.3314; x 0.3299; y -0.1135; t_rel 0.6976;
3 r 6.9716; phi -0.3320; x 0.3295; y -0.1136; t_rel 0.6973;
3 r 6.9649; phi -0.3327; x 0.3292; y -0.1137; t_rel 0.6970;
3 r 6.9583; phi -0.3333; x 0.3288; y -0.1138; t_rel 0.6967;
3 r 6.9516; phi -0.3339; x 0.3284; y -0.1139; t_rel 0.6964;
3 r 6.9450; phi -0.3346; x 0.3280; y -0.1140; t_rel 0.6962;
3 r 6.9384; phi -0.3352; x 0.3276; y -0.1141; t_rel 0.6959;
3 r 6.9318; phi -0.3358; x 0.3272; y -0.1142; t_rel 0.6956;
3 r 6.9252; phi -0.3364; x 0.3268; y -0.1143; t_rel 0.6953;
3 r 6.9186; phi -0.3371; x 0.3265; y -0.1144; t_rel 0.6950;
3 r 6.9120; phi -0.3377; x 0.3261; y -0.1145; t_rel 0.6947;
3 r 6.9055; phi -0.3383; x 0.3257; y -0.1146; t_rel 0.6945;
3 r 6.8990; phi -0.3390; x 0.3253; y -0.1147; t_rel 0.6942;
3 r 6.8924; phi -0.3396; x 0.3249; y -0.1148; t_rel 0.6939;
3 r 6.8859; phi -0.3402; x 0.3246; y -0.1149; t_rel 0.6936;
3 r 6.8794; phi -0.3408; x 0.3242; y -0.1150; t_rel 0.6933;
3 r 6.8729; phi -0.3415; x 0.3238; y -0.1151; t_rel 0.6931;
3 r 6.8665; phi -0.3421; x 0.3234; y -0.1152; t_rel 0.6928;
3 r 6.8600; phi -0.3427; x 0.3231; y -0.1153; t_rel 0.6925;
3 r 6.8536; phi -0.3434; x 0.3227; y -0.1154; t_rel 0.6922;
3 r 6.8472; phi -0.3440; x 0.3223; y -0.1155; t_rel 0.6920;
3 r 6.8408; phi -0.3446; x 0.3219; y -0.1156; t_rel 0.6917;
3 r 6.8344; phi -0.3452; x 0.3216; y -0.1156; t_rel 0.6914;
3 r 6.8280; phi -0.3459; x 0.3212; y -0.1157; t_rel 0.6911;
3 r 6.8216; phi -0.3465; x 0.3208; y -0.1158; t_rel 0.6909;
3 r 6.8152; phi -0.3471; x 0.3204; y -0.1159; t_rel 0.6906;
3 r 6.8089; phi -0.3478; x 0.3201; y -0.1160; t_rel 0.6903;
3 r 6.8026; phi -0.3484; x 0.3197; y -0.1161; t_rel 0.6900;
3 r 6.7962; phi -0.3490; x 0.3193; y -0.1162; t_rel 0.6898;
3 r 6.7899; phi -0.3496; x 0.3190; y -0.1163; t_rel 0.6895;
3 r 6.7836; phi -0.3503; x 0.3186; y -0.1164; t_rel 0.6892;
3 r 6.7774; phi -0.3509; x 0.3182; y -0.1165; t_rel 0.6890;
3 r 6.7711; phi -0.3515; x 0.3179; y -0.1166; t_rel 0.6887;
3 r 6.7649; phi -0.3522; x 0.3175; y -0.1167; t_rel 0.6884;
3 r 6.7586; phi -0.3528; x 0.3171; y -0.1168; t_rel 0.6881;
3 r 6.7524; phi -0.3534; x 0.3168; y -0.1169; t_rel 0.6879;
3 r 6.7462; phi -0.3540; x 0.3164; y -0.1169; t_rel 0.6876;
3 r 6.7400; phi -0.3547; x 0.3160; y -0.1170; t_rel 0.6873;
3 r 6.7338; phi -0.3553; x 0.3157; y -0.1171; t_rel 0.6871;
3 r 6.7276; phi -0.3559; x 0.3153; y -0.1172; t_rel 0.6868;
3 r 6.7214; phi -0.3566; x 0.3149; y -0.1173; t_rel 0.6865;
3 r 6.7153; phi -0.3572; x 0.3146; y -0.1174; t_rel 0.6863;
3 r 6.7092; phi -0.3578; x 0.3142; y -0.1175; t_rel 0.6860;
3 r 6.7030; phi -0.3584; x 0.3139; y -0.1176; t_rel 0.6857;
3 r 6.6969; phi -0.3591; x 0.3135; y -0.1177; t_rel 0.6855;
3 r 6.6908; phi -0.3597; x 0.3131; y -0.1178; t_rel 0.6852;
3 r 6.6847; phi -0.3603; x 0.3128; y -0.1178; t_rel 0.6849;
3 r 6.6787; phi -0.3610; x 0.3124; y -0.1179; t_rel 0.6847;
3 r 6.6726; phi -0.3616; x 0.3121; y -0.1180; t_rel 0.6844;
3 r 6.6666; phi -0.3622; x 0.3117; y -0.1181; t_rel 0.6842;
3 r 6.6605; phi -0.3628; x 0.3113; y -0.1182; t_rel 0.6839;
3 r 6.6545; phi -0.3635; x 0.3110; y -0.1183; t_rel 0.6836;
3 r 6.6485; phi -0.3641; x 0.3106; y -0.1184; t_rel 0.6834;
3 r 6.6425; phi -0.3647; x 0.3103; y -0.1185; t_rel 0.6831;
3 r 6.6365; phi -0.3654; x 0.3099; y -0.1186; t_rel 0.6829;
3 r 6.6305; phi -0.3660; x 0.3096; y -0.1186; t_rel 0.6826;
3 r 6.6246; phi -0.3666; x 0.3092; y -0.1187; t_rel 0.6823;
3 r 6.6186; phi -0.3673; x 0.3089; y -0.1188; t_rel 0.6821;
3 r 6.6127; phi -0.3679; x 0.3085; y -0.1189; t_rel 0.6818;
3 r 6.6067; phi -0.3685; x 0.3082; y -0.1190; t_rel 0.6816;
3 r 6.6008; phi -0.3691; x 0.3078; y -0.1191; t_rel 0.6813;
3 r 6.5949; phi -0.3698; x 0.3075; y -0.1192; t_rel 0.6810;
3 r 6.5890; phi -0.3704; x 0.3071; y -0.1193; t_rel 0.6808;
3 r 6.5832; phi -0.3710; x 0.3068; y -0.1193; t_rel 0.6805;
3 r 6.5773; phi -0.3717; x 0.3064; y -0.1194; t_rel 0.6803;
3 r 6.5714; phi -0.3723; x 0.3061; y -0.1195; t_rel 0.6800;
3 r 6.5656; phi -0.3729; x 0.3057; y -0.1196; t_rel 0.6798;
3 r 6.5598; phi -0.3735; x 0.3054; y -0.1197; t_rel 0.6795;
3 r 6.5539; phi -0.3742; x 0.3050; y -0.1198; t_rel 0.6792;
3 r 6.5481; phi -0.3748; x 0.3047; y -0.1199; t_rel 0.6790;
3 r 6.5423; phi -0.3754; x 0.3043; y -0.1199; t_rel 0.6787;
3 r 6.5366; phi -0.3761; x 0.3040; y -0.1200; t_rel 0.6785;
3 r 6.5308; phi -0.3767; x 0.3036; y -0.1201; t_rel 0.6782;
3 r 6.5250; phi -0.3773; x 0.3033; y -0.1202; t_rel 0.6780;
3 r 6.5193; phi -0.3779; x 0.3030; y -0.1203; t_rel 0.6777;
3 r 6.5135; phi -0.3786; x 0.3026; y -0.1204; t_rel 0.6775;
3 r 6.5078; phi -0.3792; x 0.3023; y -0.1205; t_rel 0.6772;
3 r 6.5021; phi -0.3798; x 0.3019; y -0.1205; t_rel 0.6770;
3 r 6.4964; phi -0.3805; x 0.3016; y -0.1206; t_rel 0.6767;
3 r 6.4907; phi -0.3811; x 0.3013; y -0.1207; t_rel 0.6765;
3 r 6.4850; phi -0.3817; x 0.3009; y -0.1208; t_rel 0.6762;
3 r 6.4793; phi -0.3823; x 0.3006; y -0.1209; t_rel 0.6760;
3 r 6.4737; phi -0.3830; x 0.3002; y -0.1210; t_rel 0.6757;
3 r 6.4680; phi -0.3836; x 0.2999; y -0.1210; t_rel 0.6755;
3 r 6.4624; phi -0.3842; x 0.2996; y -0.1211; t_rel 0.6752;
3 r 6.4568; phi -0.3849; x 0.2992; y -0.1212; t_rel 0.6750;
3 r 6.4512; phi -0.3855; x 0.2989; y -0.1213; t_rel 0.6747;
3 r 6.4456; phi -0.3861; x 0.2986; y -0.1214; t_rel 0.6745;
3 r 6.4400; phi -0.3867; x 0.2982; y -0.1215; t_rel 0.6742;
3 r 6.4344; phi -0.3874; x 0.2979; y -0.1215; t_rel 0.6740;
3 r 6.4288; phi -0.3880; x 0.2975; y -0.1216; t_rel 0.6737;
3 r 6.4233; phi -0.3886; x 0.2972; y -0.1217; t_rel 0.6735;
3 r 6.4177; phi -0.3893; x 0.2969; y -0.1218; t_rel 0.6733;
3 r 6.4122; phi -0.3899; x 0.2965; y -0.1219; t_rel 0.6730;
3 r 6.4067; phi -0.3905; x 0.2962; y -0.1219; t_rel 0.6728;
3 r 6.4011; phi -0.3911; x 0.2959; y -0.1220; t_rel 0.6725;
3 r 6.3956; phi -0.3918; x 0.2956; y -0.1221; t_rel 0.6723;
3 r 6.3901; phi -0.3924; x 0.2952; y -0.1222; t_rel 0.6720;
3 r 6.3847; phi -0.3930; x 0.2949; y -0.1223; t_rel 0.6718;
3 r 6.3792; phi -0.3937; x 0.2946; y -0.1223; t_rel 0.6716;
3 r 6.3737; phi -0.3943; x 0.2942; y -0.1224; t_rel 0.6713;
3 r 6.3683; phi -0.3949; x 0.2939; y -0.1225; t_rel 0.6711;
3 r 6.3628; phi -0.3955; x 0.2936; y -0.1226; t_rel 0.6708;
3 r 6.3574; phi -0.3962; x 0.2932; y -0.1227; t_rel 0.6706;
3 r 6.3520; phi -0.3968; x 0.2929; y -0.1227; t_rel 0.6703;
3 r 6.3466; phi -0.3974; x 0.2926; y -0.1228; t_rel 0.6701;
3 r 6.3412; phi -0.3981; x 0.2923; y -0.1229; t_rel 0.6699;
3 r 6.3358; phi -0.3987; x 0.2919; y -0.1230; t_rel 0.6696;
3 r 6.3304; phi -0.3993; x 0.2916; y -0.1231; t_rel 0.6694;
3 r 6.3251; phi -0.4000; x 0.2913; y -0.1231; t_rel 0.6691;
3 r 6.3197; phi -0.4006; x 0.2910; y -0.1232; t_rel 0.6689;
3 r 6.3144; phi -0.4012; x 0.2906; y -0.1233; t_rel 0.6687;
3 r 6.3090; phi -0.4018; x 0.2903; y -0.1234; t_rel 0.6684;
3 r 6.3037; phi -0.4025; x 0.2900; y -0.1235; t_rel 0.6682;
3 r 6.2984; phi -0.4031; x 0.2897; y -0.1235; t_rel 0.6680;
3 r 6.2931; phi -0.4037; x 0.2894; y -0.1236; t_rel 0.6677;
3 r 6.2878; phi -0.4044; x 0.2890; y -0.1237; t_rel 0.6675;
3 r 6.2825; phi -0.4050; x 0.2887; y -0.1238; t_rel 0.6673;
3 r 6.2772; phi -0.4056; x 0.2884; y -0.1238; t_rel 0.6670;
3 r 6.2720; phi -0.4062; x 0.2881; y -0.1239; t_rel 0.6668;
3 r 6.2667; phi -0.4069; x 0.2878; y -0.1240; t_rel 0.6665;
3 r 6.2615; phi -0.4075; x 0.2874; y -0.1241; t_rel 0.6663;
3 r 6.2562; phi -0.4081; x 0.2871; y -0.1242; t_rel 0.6661;
3 r 6.2510; phi -0.4088; x 0.2868; y -0.1242; t_rel 0.6658;
3 r 6.2458; phi -0.4094; x 0.2865; y -0.1243; t_rel 0.6656;
3 r 6.2406; phi -0.4100; x 0.2862; y -0.1244; t_rel 0.6654;
3 r 6.2354; phi -0.4106; x 0.2859; y -0.1245; t_rel 0.6651;
3 r 6.2302; phi -0.4113; x 0.2855; y -0.1245; t_rel 0.6649;
3 r 6.2250; phi -0.4119; x 0.2852; y -0.1246; t_rel 0.6647;
3 r 6.2199; phi -0.4125; x 0.2849; y -0.1247; t_rel 0.6644;
3 r 6.2147; phi -0.4132; x 0.2846; y -0.1248; t_rel 0.6642;
3 r 6.2096; phi -0.4138; x 0.2843; y -0.1248; t_rel 0.6640;
3 r 6.2045; phi -0.4144; x 0.2840; y -0.1249; t_rel 0.6638;
3 r 6.1993; phi -0.4150; x 0.2836; y -0.1250; t_rel 0.6635;
3 r 6.1942; phi -0.4157; x 0.2833; y -0.1251; t_rel 0.6633;
3 r 6.1891; phi -0.4163; x 0.2830; y -0.1251; t_rel 0.6631;
